---
recorded_at: 2026-04-12T18:53:50.029824776-07:00
mode: manual
files: [".keel/stories/VGcvOsBRp/EVIDENCE/ac-4.log"]
---

--- File: ac-4.log ---
test application::tests::service_new_exposes_default_external_capability_catalog_surface ... ok
test application::tests::resolver_never_promotes_non_authored_targets ... ok
test application::tests::service_new_uses_persistent_trace_recorder_posture_by_default ... ok
test application::tests::shared_conversation_session_reuses_live_session_state ... ok
test application::tests::sift_direct_boundary_can_be_prepared_without_local_model_paths ... ok
test application::tests::stop_initial_actions_fall_back_to_direct_responses ... ok
test application::tests::structured_turn_trace_records_governance_profile_and_decision_artifacts ... ok
test application::tests::structured_turn_trace_records_lineage_edges_for_model_calls_and_outputs ... ok
test application::tests::structured_turn_trace_records_signal_snapshots_with_contribution_estimates ... ok
test application::tests::later_interrupts_mark_older_turn_controls_stale_instead_of_mutating_hidden_state ... ok
test application::tests::process_prompt_interrupts_at_a_safe_checkpoint_and_records_the_control_result ... ok
test application::tests::task_root_trace_records_resolved_harness_profile_selection ... ok
test application::tests::planner_requests_include_specialist_brain_runtime_notes ... ok
test application::tests::degraded_external_capability_results_project_honest_state_across_trace_and_transcript ... ok
test application::tests::steering_into_a_child_thread_preserves_replayable_thread_lineage ... ok
test application::tests::validate_inspect_allows_safe_read_only_commands ... ok
test application::tests::process_prompt_records_steering_control_and_hands_off_to_the_steered_prompt ... ok
test application::tests::process_prompt_emits_transcript_updates_for_prompt_and_completion ... ok
test application::tests::process_prompt_emits_forensic_updates_for_recorded_trace_artifacts ... ok
test application::tests::replay_conversation_transcript_projects_prompt_and_completion_records ... ok
test application::tests::validate_inspect_rejects_chained_commands ... ok
test application::tests::validate_inspect_rejects_empty_commands ... ok
test application::tests::replay_conversation_projection_packages_all_shared_session_surfaces ... ok
test application::tests::workspace_editor_boundary_budget_signal_credits_boundary_source ... ok
test domain::model::collaboration::tests::clarification_contract_supports_bounded_options_and_free_form_answers ... ok
test domain::model::collaboration::tests::collaboration_mode_results_preserve_invalid_and_unavailable_requests ... ok
test domain::model::collaboration::tests::collaboration_mode_states_stay_concise_and_fail_closed ... ok
test domain::model::compaction::tests::compaction_plan_serializes_round_trip ... ok
test domain::model::compaction::tests::compaction_request_serializes_round_trip ... ok
test domain::model::control::tests::trace_record_kinds_expose_replayable_control_results ... ok
test domain::model::context_quality::tests::serializes_round_trip ... ok
test domain::model::context_quality::tests::strain_tracker_accumulates_and_finishes ... ok
test domain::model::control::tests::thread_decisions_lower_to_surface_agnostic_control_operations ... ok
test domain::model::context_quality::tests::computes_correct_strain_level ... ok
test domain::model::control::tests::turn_events_project_shared_runtime_item_vocabulary ... ok
test domain::model::execution_hand::tests::execution_governance_contract_exposes_stable_runtime_vocabulary ... ok
test application::tests::conversation_projection_updates_are_derived_from_authoritative_replay_state ... ok
test domain::model::execution_hand::tests::execution_governance_snapshot_describes_profile_selection_and_downgrade ... ok
test domain::model::execution_hand::tests::execution_governance_decision_describes_subject_and_requested_reuse ... ok
test domain::model::external_capability::tests::descriptors_carry_governance_and_evidence_metadata_without_surface_specific_paths ... ok
test domain::model::forensics::tests::projection_marks_replaced_model_call_records_as_superseded ... ok
test domain::model::harness::tests::governor_summary_uses_watch_language_for_supervisory_timing ... ok
test domain::model::harness_projector::tests::projector_describes_expired_search_as_watch_threshold_breach ... ok
test domain::model::harness_projector::tests::projector_maps_intent_classification_into_routing_snapshot ... ok
test domain::model::execution_hand::tests::execution_hand_contract_exposes_stable_local_runtime_vocabulary ... ok
test domain::model::external_capability::tests::default_descriptors_cover_web_mcp_and_connector_fabrics ... ok
test application::tests::process_prompt_records_trace_contract_records_beside_turn_events ... ok
test domain::model::manifold::tests::projected_topology_keeps_evidence_or_lineage_basis_for_every_primitive ... ok
test domain::model::manifold::tests::projection_maps_steering_gates_and_lineage_anchors_into_stable_primitives ... ok
test domain::model::manifold::tests::projection_builds_cumulative_frames_from_signal_snapshots ... ok
test domain::model::native_transport::tests::native_transport_diagnostics_reflect_configuration_and_auth_mode ... ok
test domain::model::native_transport::tests::native_transport_kinds_publish_stable_labels_and_default_capabilities ... ok
test domain::model::native_transport::tests::native_transport_session_identity_builds_stable_connection_keys ... ok
test domain::model::native_transport::tests::native_transport_phases_report_readiness_semantics ... ok
test domain::model::projection::tests::trace_graph_projection_replays_root_actions_signals_and_branches ... ok
test domain::model::render::tests::parses_heading_blocks_from_structured_responses ... ok
test domain::model::runtime_events::tests::projects_applied_workspace_edits_into_diff_presentations ... ok
test domain::model::runtime_events::tests::projects_external_capability_results_into_runtime_event_presentation ... ok
test domain::model::runtime_events::tests::projects_governance_decisions_into_runtime_event_presentation ... ok
test domain::model::render::tests::strips_inline_bold_markers_inside_paragraph_text ... ok
test domain::model::runtime_events::tests::projects_governor_state_into_runtime_event_presentation ... ok
test domain::model::runtime_events::tests::projects_hunting_progress_into_runtime_event_presentation ... ok
test domain::model::runtime_events::tests::projects_plan_updates_into_runtime_event_presentation ... ok
test domain::model::runtime_events::tests::projects_planner_step_progress_hides_details_at_tui_low_verbosity ... ok
test domain::model::render::tests::parses_markdownish_heading_lines_from_plain_text ... ok
test domain::model::runtime_events::tests::projects_planner_summary_adds_graph_stats_when_tui_verbosity_is_high ... ok
test domain::model::runtime_events::tests::projects_terminal_output_into_runtime_event_presentation ... ok
test domain::model::runtime_events::tests::projects_tool_calls_into_runtime_event_presentation ... ok
test domain::model::threading::tests::mainline_thread_has_stable_identity ... ok
test domain::model::threading::tests::branch_thread_uses_branch_id_as_stable_identity ... ok
test domain::model::threading::tests::replay_view_reconstructs_threads_and_merges ... ok
test domain::model::threading::tests::thread_contract_types_render_generic_labels ... ok
test domain::model::traces::tests::artifact_envelope_uses_locator_when_truncated ... ok
test domain::model::traces::tests::branch_summary_is_machine_readable_but_human_scannable ... ok
test domain::model::traces::tests::artifact_envelope_carries_locator_with_tier_metadata ... ok
test domain::model::traces::tests::context_locator_reports_correct_tier ... ok
test domain::model::traces::tests::context_locator_serializes_round_trip ... ok
test domain::model::traces::tests::no_transit_sift_types_leak_into_domain_ports ... ok
test domain::model::traces::tests::legacy_force_snapshot_records_remain_deserializable ... ok
test domain::model::traces::tests::lineage_references_keep_task_turn_and_parent_record ... ok
test domain::model::transcript::tests::projects_control_results_into_system_transcript_entries ... ok
test domain::model::traces::tests::trace_signal_kind_labels_use_steering_signal_vocabulary ... ok
test domain::model::transcript::tests::projects_prompt_and_completion_entries_from_trace_replay ... ok
test domain::model::transcript::tests::projects_governance_records_into_system_transcript_entries ... ok
test domain::model::turns::tests::context_pressure_event_uses_context_strain_key ... ok
test domain::model::turns::tests::event_visibility_tracks_projection_stream_floor_and_verbosity ... ok
test domain::model::turns::tests::direct_answer_synthesis_waits_for_info_verbosity ... ok
test domain::model::turns::tests::harness_state_does_not_allow_pace_promotion ... ok
test domain::model::turns::tests::harness_state_event_uses_harness_state_key ... ok
test domain::model::turns::tests::harness_state_respects_projection_stream_policy ... ok
test domain::model::turns::tests::non_harness_events_always_emit_to_projection_stream ... ok
test domain::ports::context_gathering::tests::available_results_sort_ranked_evidence_and_are_synthesis_ready ... ok
test domain::ports::context_gathering::tests::gather_requests_default_to_heuristic_planning ... ok
test domain::ports::context_gathering::tests::harness_required_results_do_not_pretend_to_be_answers ... ok
test domain::ports::context_gathering::tests::planner_config_can_capture_structural_retriever_overrides ... ok
test domain::ports::context_gathering::tests::planner_config_can_switch_to_graph_mode_without_changing_strategy ... ok
test domain::ports::planning::tests::interpretation_context_renders_sources ... ok
test domain::ports::planning::tests::refinement_types_define_stable_defaults ... ok
test domain::ports::context_gathering::tests::unsupported_results_preserve_reason_without_evidence ... ok
test domain::ports::planning::tests::initial_action_reports_human_readable_summary ... ok
test domain::ports::planning::tests::planner_action_reports_human_readable_summary ... ok
test domain::ports::planning::tests::planner_budget_has_bounded_defaults ... ok
test domain::ports::planning::tests::planner_loop_state_defaults_include_refinement_fields ... ok
test domain::ports::planning::tests::thread_decision_request_keeps_generic_thread_state ... ok
test domain::ports::entity_resolution::tests::entity_resolver_contracts_define_explicit_outcomes_and_ranked_candidates ... ok
test domain::ports::trace_recording::tests::adaptive_replay_query_returns_recent_turn_summaries ... ok
test domain::ports::trace_recording::tests::compaction_window_query_returns_anchor_neighborhood ... ok
test domain::ports::trace_recording::tests::transcript_turn_summaries_ignore_system_governance_entries ... ok
test application::tests::unresolved_targets_fail_closed_before_workspace_mutation ... ok
test domain::ports::trace_recording::tests::rewind_query_returns_backward_slice_from_anchor ... ok
test infrastructure::adapters::agent_memory::tests::interpretation_context_fallback_uses_agents_rooted_documents_only ... ok
test infrastructure::adapters::agent_memory::tests::load_guidance_document_resolves_targets_relative_to_source_documents ... ok
test infrastructure::adapters::context1_gatherer::tests::context1_without_harness_reports_harness_required ... ok
test infrastructure::adapters::agent_memory::tests::truncation_tracking_nominal_for_small_documents ... ok
test infrastructure::adapters::agent_memory::tests::truncation_tracking_flags_oversized_documents ... ok
test infrastructure::adapters::agent_memory::tests::agent_memory_roots_only_load_agents_documents ... ok
test infrastructure::adapters::hf_hub::tests::parses_unique_shard_files_from_safetensor_index ... ok
test infrastructure::adapters::hf_hub::tests::rejects_empty_safetensor_index ... ok
test infrastructure::adapters::context1_gatherer::tests::context1_with_harness_flag_but_no_provider_reports_unsupported ... ok
test infrastructure::adapters::agent_memory::tests::loads_system_user_and_ancestor_memory_in_specificity_order ... ok
test infrastructure::adapters::http_provider::tests::http_planner_action_prompt_includes_evidence_and_pressure_notes ... ok
test application::tests::process_prompt_emits_plan_updates_and_containment_notes_for_edit_turns ... ok
test application::tests::recent_turn_history_persists_across_service_processes ... ok
test application::tests::initial_refusals_render_policy_violation_without_synthesizer_rewrite ... ok
test application::tests::planner_requests_include_runtime_notes_when_retrieval_is_still_warming ... ok
test application::tests::initial_answer_decisions_render_explicit_user_answer_without_synthesizer_rewrite ... ok
test application::tests::planner_requests_include_specialist_brain_fallback_for_prompt_envelope_safe_profiles ... ok
test application::tests::synthesizer_only_turns_receive_planner_declared_grounding_handoff ... ok
test application::tests::external_capability_actions_fail_closed_when_governance_blocks_network_access ... ok
test application::tests::out_of_domain_direct_turns_do_not_trigger_controller_workspace_inspects ... ok
test infrastructure::adapters::http_provider::tests::http_provider_apply_patch_actions_stay_local_even_on_inception ... ok
test infrastructure::adapters::http_provider::tests::external_grounding_rejects_unverified_urls_in_http_responses ... ok
test application::tests::workspace_editor_edits_emit_applied_edit_events ... ok
test application::tests::review_mode_bootstraps_local_diff_and_carries_findings_first_handoff ... ok
test application::tests::execution_mode_remains_the_default_mutation_path ... ok
test infrastructure::adapters::http_provider::tests::grounded_http_responses_fall_back_when_they_assert_unverified_failure_claims ... ok
test application::tests::planning_mode_explores_read_only_then_requests_bounded_clarification_before_mutation ... ok
test application::tests::external_capability_actions_remain_useful_when_the_fabric_is_disabled ... ok
test application::tests::external_capability_actions_route_through_discovery_governance_and_evidence ... ok
test application::tests::planner_workspace_actions_emit_governance_decision_events ... ok
test application::tests::planner_stop_answers_render_directly_without_synthesizer_rewrite ... ok
test infrastructure::adapters::http_provider::tests::grounded_http_responses_fall_back_when_they_deny_visible_command_output ... ok
test application::tests::recursive_refusals_render_policy_violation_without_synthesizer_rewrite ... ok
test application::tests::shell_actions_stream_terminal_output_before_completion ... ok
test application::tests::inspect_actions_emit_tool_execution_events ... ok
test infrastructure::adapters::http_provider::tests::retryable_status_identifies_429_and_5xx ... ok
test infrastructure::adapters::http_provider::tests::provider_request_redaction_hides_auth_headers_and_query_keys ... ok
test infrastructure::adapters::http_provider::tests::planner_action_schema_avoids_conditional_keywords_for_openai_tool_compatibility ... ok
test application::tests::process_prompt_assembles_interpretation_before_model_selected_initial_action ... ok
test infrastructure::adapters::local_workspace_editor::tests::workspace_editor_rejects_non_authored_paths ... ok
test infrastructure::adapters::local_workspace_editor::tests::workspace_editor_rejects_gitignored_paths ... ok
test infrastructure::adapters::local_workspace_editor::tests::workspace_editor_returns_structured_escalation_without_writing_when_policy_blocks ... ok
test application::tests::edit_turns_can_complete_after_a_successful_write ... ok
test infrastructure::adapters::local_workspace_editor::tests::workspace_editor_reports_hand_execution_diagnostics_after_successful_write ... ok
test infrastructure::adapters::local_workspace_editor::tests::edit_actions_return_structured_applied_edit_artifacts ... ok
test infrastructure::adapters::sift_agent::tests::caps_prepared_qwen_runtime_length_to_existing_budget ... ok
test infrastructure::adapters::sift_agent::tests::assess_context_relevance_produces_heuristic_decisions ... ok
test application::tests::diagnostic_turn_stops_after_sources_weaken_failure_premise ... ok
test infrastructure::adapters::sift_agent::tests::casual_prompts_fall_back_after_repeated_empty_responses ... ok
test infrastructure::adapters::sift_agent::tests::casual_prompts_fall_back_to_plain_text_after_repeated_tool_calls ... ok
test infrastructure::adapters::sift_agent::tests::casual_prompts_retry_after_empty_response ... ok
test application::tests::diagnostic_turn_stops_after_plain_ci_listing_shows_no_failure ... ok
test infrastructure::adapters::sift_agent::tests::cpu_runtime_keeps_qwen_weights_in_f32 ... ok
test infrastructure::adapters::sift_agent::tests::casual_prompts_retry_for_plain_text_instead_of_executing_tools ... ok
test infrastructure::adapters::sift_agent::tests::apply_patch_returns_error_on_failure ... ok
test infrastructure::adapters::sift_agent::tests::direct_prompts_include_loaded_agents_memory ... ok
test infrastructure::adapters::sift_agent::tests::external_grounding_rejects_unverified_urls_in_sift_responses ... ok
test infrastructure::adapters::sift_agent::tests::exhausting_the_tool_budget_returns_an_error ... ok
test infrastructure::adapters::sift_agent::tests::extracts_tool_call_from_embedded_json ... ok
test infrastructure::adapters::sift_agent::tests::grounded_answer_fallback_preserves_evidence_order_without_source_priority ... ok
test infrastructure::adapters::sift_agent::tests::infers_qwen_family_from_prepared_config_shapes ... ok
test infrastructure::adapters::sift_agent::tests::initial_action_answer_payload_is_preserved_separately_from_rationale ... ok
test infrastructure::adapters::sift_agent::tests::general_prompts_retry_after_malformed_tool_protocol_response ... ok
test application::tests::synthesizer_only_turns_receive_recent_turns_and_thread_summary_handoff ... ok
test infrastructure::adapters::sift_agent::tests::extracts_tool_call_from_raw_json ... ok
test application::tests::repo_scoped_followups_bootstrap_a_grounding_probe_before_direct_answer ... ok
test infrastructure::adapters::http_provider::tests::grounded_http_responses_fall_back_when_they_promise_future_command_work ... ok
test infrastructure::adapters::sift_agent::tests::extracts_tool_call_from_fenced_json ... ok
test infrastructure::adapters::sift_agent::tests::initial_action_can_request_structural_fuzzy_retrievers ... ok
test infrastructure::adapters::sift_agent::tests::invalid_initial_action_replies_fail_closed_after_redecision_is_still_invalid ... ok
test infrastructure::adapters::sift_agent::tests::invalid_initial_action_replies_use_constrained_redecision_before_succeeding ... ok
test infrastructure::adapters::sift_agent::tests::interpretation_context_expands_model_selected_guidance_subgraph_from_agents_roots ... ok
test infrastructure::adapters::sift_agent::tests::initial_action_prompts_include_interpretation_context ... ok
test infrastructure::adapters::sift_agent::tests::initial_action_retries_when_edit_metadata_is_missing ... ok
test infrastructure::adapters::sift_agent::tests::normalizes_relative_paths_without_leaving_workspace ... ok
test infrastructure::adapters::sift_agent::tests::qwen3_family_prompts_disable_thinking_explicitly ... ok
test infrastructure::adapters::sift_agent::tests::qwen_generation_sampling_uses_model_defaults ... ok
test infrastructure::adapters::sift_agent::tests::invalid_planner_replies_fail_closed_after_redecision_is_still_invalid ... ok
test infrastructure::adapters::sift_agent::tests::invalid_planner_replies_use_constrained_redecision_before_succeeding ... ok
test infrastructure::adapters::sift_agent::tests::planned_prompts_include_loaded_agents_memory ... ok
test infrastructure::adapters::sift_agent::tests::planner_action_prompts_include_exact_diff_guidance ... ok
test infrastructure::adapters::sift_agent::tests::read_file_rejects_symlink_escape ... ok
test infrastructure::adapters::sift_agent::tests::list_files_respects_repo_gitignore_patterns ... ok
test infrastructure::adapters::sift_agent::tests::repository_turns_without_evidence_report_insufficient_evidence ... ok
test infrastructure::adapters::sift_agent::tests::respond_for_turn_records_forensic_exchange_artifacts_on_trace_capable_sink ... ok
test infrastructure::adapters::sift_agent::tests::retries_qwen_cuda_runtime_on_oom_or_dtype_errors ... ok
test infrastructure::adapters::sift_agent::tests::repository_turns_fall_back_to_grounded_evidence_when_model_is_confused ... ok
test infrastructure::adapters::sift_agent::tests::respond_with_evidence_includes_gathered_summary_in_prompt ... ok
test infrastructure::adapters::sift_agent::tests::respond_records_tool_outputs_and_turns_in_local_context ... ok
test infrastructure::adapters::sift_agent::tests::structured_final_answer_envelopes_are_normalized_before_return ... ok
test application::tests::recursive_search_requests_graph_mode_and_surfaces_graph_trace_summary ... ok
test infrastructure::adapters::sift_agent::tests::search_tool_uses_sift_context_assembly ... ok
test infrastructure::adapters::sift_agent::tests::list_files_skips_symlinked_directories ... ok
test infrastructure::adapters::sift_agent::tests::trims_large_context_payloads ... ok
test application::tests::diagnostic_turn_requests_recursive_evidence_review_before_stopping ... ok
test infrastructure::adapters::sift_autonomous_gatherer::tests::autonomous_gatherer_maps_graph_metadata_into_paddles_types ... ok
test infrastructure::adapters::sift_agent::tests::tool_failures_are_recorded_and_can_recover ... ok
test infrastructure::adapters::sift_autonomous_gatherer::tests::planner_metadata_prunes_gitignored_retained_artifacts ... ok
test infrastructure::adapters::sift_autonomous_gatherer::tests::autonomous_gatherer_supports_optional_model_driven_profile_configuration ... ok
test infrastructure::adapters::sift_autonomous_gatherer::tests::autonomous_gatherer_reports_available_capability ... ok
test infrastructure::adapters::sift_autonomous_gatherer::tests::autonomous_gatherer_returns_planner_metadata_and_evidence ... ok
test infrastructure::adapters::sift_progress::tests::embedding_progress_includes_embedding_cache_hits ... ok
test infrastructure::adapters::sift_progress::tests::indexing_progress_includes_incremental_reuse_metrics ... ok
test infrastructure::adapters::sift_registry::tests::registry_can_report_model_preparation_through_opt_in_reporter ... ok
test infrastructure::adapters::sift_registry::tests::registry_is_silent_by_default_when_reporting_preparation ... ok
test infrastructure::adapters::sift_registry::tests::rejects_unknown_model_ids ... ok
test infrastructure::adapters::sift_registry::tests::supports_runtime_aliases_and_bonsai ... ok
test infrastructure::adapters::sift_request_factory::tests::request_factory_reuses_search_plan_for_vector_retrieval ... ok
test infrastructure::adapters::sift_request_factory::tests::request_factory_turns_prior_context_into_environment_facts ... ok
test infrastructure::adapters::sift_request_factory::tests::request_factory_uses_page_index_hybrid_when_segment_fuzzy_is_requested ... ok
test infrastructure::adapters::sift_request_factory::tests::request_factory_uses_path_hybrid_when_structural_path_fuzzy_is_requested ... ok
test infrastructure::adapters::trace_recorders::tests::default_trace_recorder_falls_back_to_in_memory_when_transit_state_is_unavailable ... ok
test infrastructure::adapters::sift_autonomous_gatherer::tests::autonomous_and_static_gatherers_produce_distinct_evidence_shapes ... ok
test infrastructure::adapters::trace_recorders::tests::in_memory_recorder_replays_records_in_sequence_order ... ok
test infrastructure::adapters::trace_recorders::tests::default_trace_recorder_prefers_embedded_transit_session_spine ... ok
test infrastructure::adapters::http_provider::tests::parse_initial_action_preserves_structural_retriever_overrides ... ok
test infrastructure::adapters::http_provider::tests::parse_initial_action_decision_preserves_grounding_contract ... ok
test infrastructure::adapters::trace_recorders::tests::transit_recorder_replays_root_and_verifies_checkpoint ... ok
test infrastructure::adapters::http_provider::tests::parse_planner_action_accepts_pretty_printed_multiline_json ... ok
test infrastructure::adapters::trace_recorders::tests::wake_reports_latest_checkpoint_and_resume_cursor ... ok
test infrastructure::adapters::trace_recorders::tests::replay_slice_selects_records_from_checkpoint_forward ... ok
test infrastructure::adapters::http_provider::tests::parse_planner_action_infers_inspect_when_command_is_present_without_action ... ok
test infrastructure::adapters::transit_resolver::tests::fails_closed_for_missing_transit_record ... ok
test infrastructure::adapters::transit_resolver::tests::fails_closed_for_sift_tier ... ok
test infrastructure::adapters::transit_resolver::tests::noop_resolver_fails_closed ... ok
test infrastructure::adapters::transit_resolver::tests::resolves_filesystem_locator ... ok
test infrastructure::adapters::http_provider::tests::parse_planner_action_supports_apply_patch_actions ... ok
test infrastructure::adapters::transit_resolver::tests::resolves_transit_locator ... ok
test infrastructure::adapters::http_provider::tests::parse_initial_action_rejects_missing_edit_metadata ... ok
test infrastructure::adapters::http_provider::tests::parse_planner_action_supports_external_capability_actions ... ok
test infrastructure::adapters::http_provider::tests::send_with_retry_fails_immediately_on_non_retryable_status ... ok
test infrastructure::adapters::http_provider::tests::parse_planner_action_separates_direct_answer_from_rationale ... ok
test application::tests::known_edit_initial_decision_bootstraps_to_a_file_read ... ok
test infrastructure::adapters::http_provider::tests::planner_system_prompt_demands_complete_json_action_envelopes ... ok
test application::tests::known_edit_bootstrap_uses_vector_evidence_to_pick_the_best_candidate ... ok
test infrastructure::adapters::sift_agent::tests::respond_starts_a_fresh_conversation_each_turn ... ok
test application::tests::action_bias_reads_best_candidate_after_initial_search ... ok
test infrastructure::adapters::sift_agent::tests::shell_tool_emits_terminal_output_events ... ok
test infrastructure::adapters::http_provider::tests::inception_provider_records_exact_forensic_exchange_artifacts_in_trace_replay ... ok
test infrastructure::adapters::sift_agent::tests::shell_tool_returns_error_on_non_zero_exit ... ok
test application::tests::edit_turns_do_not_complete_with_advice_only_stop_answers ... ok
test infrastructure::cli::interactive_tui::tests::app_compresses_multiline_paste_into_a_prompt_chip_and_submits_raw_text ... ok
test infrastructure::adapters::workspace_entity_resolver::tests::resolver_supports_exact_path_basename_and_symbol_hints ... ok
test infrastructure::cli::interactive_tui::tests::app_recalls_loaded_prompt_history_across_instances ... ok
test infrastructure::cli::interactive_tui::tests::app_requests_same_turn_steering_while_busy ... ok
test infrastructure::cli::interactive_tui::tests::assistant_reveal_finishes_with_full_text ... ok
test infrastructure::cli::interactive_tui::tests::app_submits_multiline_prompt_as_inline_display_row ... ok
test infrastructure::cli::interactive_tui::tests::app_attaches_elapsed_and_delta_timings_to_turn_rows ... ok
test infrastructure::cli::interactive_tui::tests::app_tracks_busy_state_through_reveal_completion ... ok
test infrastructure::cli::interactive_tui::tests::busy_label_uses_gathering_context_for_harness_snapshots ... ok
test infrastructure::cli::interactive_tui::tests::backspace_removes_a_compressed_multiline_paste_when_the_prompt_is_empty ... ok
test infrastructure::cli::interactive_tui::tests::applied_edit_events_render_diff_lines_in_the_tui_transcript ... ok
test infrastructure::cli::interactive_tui::tests::command_notice_rows_use_brighter_notice_styles ... ok
test infrastructure::cli::interactive_tui::tests::assistant_rows_style_sources_and_inline_code ... ok
test infrastructure::cli::interactive_tui::tests::control_state_rows_keep_runtime_items_and_degraded_detail_visible ... ok
test infrastructure::cli::interactive_tui::tests::cursor_stays_inside_prompt_body_when_text_exactly_fills_the_line ... ok
test infrastructure::cli::interactive_tui::tests::direct_response_bookkeeping_does_not_promote_into_default_streams ... ok
test infrastructure::cli::interactive_tui::tests::completed_rows_become_scrollback_while_live_reveal_stays_inline ... ok
test infrastructure::cli::interactive_tui::tests::escape_requests_turn_interrupt_before_falling_back_to_abort ... ok
test infrastructure::cli::interactive_tui::tests::idle_prompt_line_has_no_redundant_send_hint ... ok
test infrastructure::cli::interactive_tui::tests::alternating_hunting_and_gathering_updates_collapse_in_place ... ok
test infrastructure::cli::interactive_tui::tests::in_flight_row_says_hunting_for_gatherer_progress ... ok
test infrastructure::cli::interactive_tui::tests::governor_rows_do_not_pace_promote_into_default_streams ... ok
test infrastructure::cli::interactive_tui::tests::in_flight_row_not_emitted_for_quick_events ... ok
test infrastructure::cli::interactive_tui::tests::duration_formatting_stays_compact ... ok
test infrastructure::cli::interactive_tui::tests::in_flight_row_says_synthesizing_after_planner_summary ... ok
test infrastructure::cli::interactive_tui::tests::in_flight_row_shows_contextual_label ... ok
test infrastructure::cli::interactive_tui::tests::escape_cancels_masked_login_input_without_exiting ... ok
test infrastructure::cli::interactive_tui::tests::escape_keeps_interactive_loop_running_in_normal_mode ... ok
test infrastructure::cli::interactive_tui::tests::escape_removes_latest_queued_steering_prompt_without_exiting ... ok
test infrastructure::cli::interactive_tui::tests::event_details_are_elided_for_long_outputs ... ok
test infrastructure::cli::interactive_tui::tests::in_flight_row_shows_tool_stream_detail_after_silence ... ok
test infrastructure::cli::interactive_tui::tests::inline_multiline_text_preserves_single_lines ... ok
test infrastructure::cli::interactive_tui::tests::external_capability_results_render_with_shared_fabric_vocabulary ... ok
test infrastructure::cli::interactive_tui::tests::gatherer_progress_rows_use_hunting_language ... ok
test infrastructure::cli::interactive_tui::tests::assistant_rows_render_heading_blocks_without_literal_markers ... ok
